"@timestamp","_id","_index","_score","fields.clientIP","fields.clientIP.keyword","fields.method","fields.method.keyword","fields.responseTime","fields.route","fields.route.keyword","fields.server","fields.server.keyword","fields.statusCode","fields.timestamp","fields.userAgent","fields.userAgent.keyword",message,"message.keyword",severity,"severity.keyword"
"Mar 31, 2025 @ 18:12:07.899",Ujo57JUBGhOokez5PzkS,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,1,"/","/",server1,server1,200,"Mar 31, 2025 @ 18:12:07.899","axios/1.8.4","axios/1.8.4","✅ Server1 API Call: GET /","✅ Server1 API Call: GET /",info,info
"Mar 31, 2025 @ 18:12:07.682",Uzo57JUBGhOokez5PzkS,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,1,"/","/",server1,server1,200,"Mar 31, 2025 @ 18:12:07.682","axios/1.8.4","axios/1.8.4","✅ Server1 API Call: GET /","✅ Server1 API Call: GET /",info,info
"Mar 31, 2025 @ 18:12:07.469",Qjo57JUBGhOokez5Nzky,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,1,"/","/",server1,server1,200,"Mar 31, 2025 @ 18:12:07.469","axios/1.8.4","axios/1.8.4","✅ Server1 API Call: GET /","✅ Server1 API Call: GET /",info,info
"Mar 31, 2025 @ 18:12:07.252",Qzo57JUBGhOokez5Nzky,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,1,"/invalid-route","/invalid-route",server1,server1,404,"Mar 31, 2025 @ 18:12:07.252","axios/1.8.4","axios/1.8.4","⚠️ Server1 API Error: GET /invalid-route","⚠️ Server1 API Error: GET /invalid-route",error,error
"Mar 31, 2025 @ 18:12:07.034",RDo57JUBGhOokez5Nzky,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,1,"/","/",server1,server1,200,"Mar 31, 2025 @ 18:12:07.034","axios/1.8.4","axios/1.8.4","✅ Server1 API Call: GET /","✅ Server1 API Call: GET /",info,info
"Mar 31, 2025 @ 18:12:06.819",RTo57JUBGhOokez5Nzky,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,1,"/","/",server1,server1,200,"Mar 31, 2025 @ 18:12:06.819","axios/1.8.4","axios/1.8.4","✅ Server1 API Call: GET /","✅ Server1 API Call: GET /",info,info
"Mar 31, 2025 @ 18:12:06.607",Rjo57JUBGhOokez5Nzky,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,3,"/","/",server1,server1,200,"Mar 31, 2025 @ 18:12:06.607","axios/1.8.4","axios/1.8.4","✅ Server1 API Call: GET /","✅ Server1 API Call: GET /",info,info
"Mar 31, 2025 @ 18:12:06.391",Rzo57JUBGhOokez5Nzky,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,1,"/invalid-route","/invalid-route",server1,server1,404,"Mar 31, 2025 @ 18:12:06.391","axios/1.8.4","axios/1.8.4","⚠️ Server1 API Error: GET /invalid-route","⚠️ Server1 API Error: GET /invalid-route",error,error
"Mar 31, 2025 @ 18:12:06.174",SDo57JUBGhOokez5Nzky,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,1,"/","/",server1,server1,200,"Mar 31, 2025 @ 18:12:06.174","axios/1.8.4","axios/1.8.4","✅ Server1 API Call: GET /","✅ Server1 API Call: GET /",info,info
"Mar 31, 2025 @ 18:12:05.960",STo57JUBGhOokez5Nzky,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,1,"/","/",server1,server1,200,"Mar 31, 2025 @ 18:12:05.960","axios/1.8.4","axios/1.8.4","✅ Server1 API Call: GET /","✅ Server1 API Call: GET /",info,info
"Mar 31, 2025 @ 18:12:05.746",Sjo57JUBGhOokez5Nzky,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,2,"/","/",server1,server1,200,"Mar 31, 2025 @ 18:12:05.746","axios/1.8.4","axios/1.8.4","✅ Server1 API Call: GET /","✅ Server1 API Call: GET /",info,info
"Mar 31, 2025 @ 18:12:05.507",QTo57JUBGhOokez5LzlL,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,2,"/","/",server1,server1,200,"Mar 31, 2025 @ 18:12:05.507","axios/1.8.4","axios/1.8.4","✅ Server1 API Call: GET /","✅ Server1 API Call: GET /",info,info
"Mar 31, 2025 @ 18:09:41.206",PTo37JUBGhOokez5ADmz,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,0,"/","/",server1,server1,200,"Mar 31, 2025 @ 18:09:41.206","axios/1.8.4","axios/1.8.4","✅ Server1 API Call: GET /","✅ Server1 API Call: GET /",info,info
"Mar 31, 2025 @ 18:09:40.988",Pjo37JUBGhOokez5ADmz,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,0,"/","/",server1,server1,200,"Mar 31, 2025 @ 18:09:40.988","axios/1.8.4","axios/1.8.4","✅ Server1 API Call: GET /","✅ Server1 API Call: GET /",info,info
"Mar 31, 2025 @ 18:09:40.776",Pzo37JUBGhOokez5ADmz,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,1,"/","/",server1,server1,200,"Mar 31, 2025 @ 18:09:40.776","axios/1.8.4","axios/1.8.4","✅ Server1 API Call: GET /","✅ Server1 API Call: GET /",info,info
"Mar 31, 2025 @ 18:09:40.553",QDo37JUBGhOokez5ADmz,"app-logs-2025.03.31","-","::ffff:172.18.0.1","::ffff:172.18.0.1",GET,GET,1,"/invalid-route","/invalid-route",server1,server1,404,"Mar 31, 2025 @ 18:09:40.553","axios/1.8.4","axios/1.8.4","⚠️ Server1 API Error: GET /invalid-route","⚠️ Server1 API Error: GET /invalid-route",error,error
