timestamp,response_time,scaled_response_time,dbscan_cluster,dbscan_anomaly,kmeans_cluster,kmeans_anomaly,final_anomaly
2025-03-31 18:09:35.772,3,-0.027559942385490116,0,0,0,0,0
2025-03-31 18:09:35.990,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:09:36.207,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:09:36.427,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:09:36.645,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:09:36.861,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:09:37.078,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:09:37.296,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:09:37.515,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:09:37.732,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:09:37.949,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:09:38.167,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:09:38.387,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:09:38.606,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:09:38.825,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:09:39.041,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:09:39.245,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:09:39.463,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:09:39.681,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:09:39.899,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:09:40.116,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:09:40.336,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:09:40.553,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:09:40.776,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:09:40.988,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:09:41.206,0,-0.19803381281120222,0,0,0,0,0
2025-03-31 18:12:05.507,2,-0.08438456586072748,0,0,0,0,0
2025-03-31 18:12:05.746,2,-0.08438456586072748,0,0,0,0,0
2025-03-31 18:12:05.960,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:06.174,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:06.391,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:06.607,3,-0.027559942385490116,0,0,0,0,0
2025-03-31 18:12:06.819,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:07.034,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:07.252,1,-0.14120918933596485,0,0,0,0,0
2025-03-31 18:12:07.469,1,-0.14120918933596485,0,0,0,0,0
